date,Model,actual,forecast
2018-10-07 00:00:00+00:00,Random Forest,54287.05952380953,54607.9454166667
2018-10-14 00:00:00+00:00,Random Forest,55848.94047619047,55867.36232142859
2018-10-21 00:00:00+00:00,Random Forest,55762.125,56742.793928571475
2018-10-28 00:00:00+00:00,Random Forest,58684.71428571428,57538.45642857147
2018-11-04 00:00:00+00:00,Random Forest,55917.58928571428,54901.87255952382
2018-11-11 00:00:00+00:00,Random Forest,58163.47023809524,58135.19363095243
2018-11-18 00:00:00+00:00,Random Forest,59696.083333333336,58426.14625000005
2018-11-25 00:00:00+00:00,Random Forest,61553.36309523809,61226.28077380947
2018-12-02 00:00:00+00:00,Random Forest,62379.15476190476,61518.17113095233
2018-12-09 00:00:00+00:00,Random Forest,62322.69047619047,59298.16279761908
2018-12-16 00:00:00+00:00,Random Forest,63243.5,61940.615
2018-12-23 00:00:00+00:00,Random Forest,59408.55952380953,59177.23136904764
2018-12-30 00:00:00+00:00,Random Forest,49075.583333333336,51419.23250000003
2019-01-06 00:00:00+00:00,Random Forest,53805.875,55353.88738095241
2019-01-13 00:00:00+00:00,Random Forest,62372.20238095238,60175.16511904761
2019-01-20 00:00:00+00:00,Random Forest,62423.494047619046,61644.11684523812
2019-01-27 00:00:00+00:00,Random Forest,63587.01190476191,61576.735714285736
2019-02-03 00:00:00+00:00,Random Forest,62088.767857142855,61469.95482142856
2019-02-10 00:00:00+00:00,Random Forest,62359.53571428572,58905.14458333341
2019-02-17 00:00:00+00:00,Random Forest,60799.00595238096,58758.084285714365
2019-02-24 00:00:00+00:00,Random Forest,59467.517857142855,58548.42011904767
2019-03-03 00:00:00+00:00,Random Forest,58481.82142857143,58537.63464285719
2019-03-10 00:00:00+00:00,Random Forest,58990.95238095238,58105.021666666726
2019-03-17 00:00:00+00:00,Random Forest,60078.91071428572,58535.73345238099
2019-03-24 00:00:00+00:00,Random Forest,57649.36309523809,58505.633214285765
2019-03-31 00:00:00+00:00,Random Forest,56771.51190476191,53909.92857142857
2019-04-07 00:00:00+00:00,Random Forest,56433.857142857145,55273.605595238114
2019-04-14 00:00:00+00:00,Random Forest,56765.97023809524,55464.256250000006
2019-04-21 00:00:00+00:00,Random Forest,51656.26190476191,55170.64976190477
2019-04-28 00:00:00+00:00,Random Forest,52336.75,54664.29101190477
2019-05-05 00:00:00+00:00,Random Forest,53123.17261904762,54296.486904761914
2019-05-12 00:00:00+00:00,Random Forest,56023.57738095238,53891.55678571428
2019-05-19 00:00:00+00:00,Random Forest,55285.59523809524,55110.46464285717
2019-05-26 00:00:00+00:00,Random Forest,54945.35119047619,54520.27690476192
2019-06-02 00:00:00+00:00,Random Forest,51308.80357142857,54856.65761904761
2019-06-09 00:00:00+00:00,Random Forest,54528.16071428572,55160.22446428575
2019-06-16 00:00:00+00:00,Random Forest,52286.708333333336,55063.2486904762
2019-06-23 00:00:00+00:00,Random Forest,52541.21428571428,54910.385297619076
2019-06-30 00:00:00+00:00,Random Forest,55955.28571428572,54873.19232142856
2019-07-07 00:00:00+00:00,Random Forest,55179.63095238096,55221.32083333336
2019-07-14 00:00:00+00:00,Random Forest,53908.16666666666,54434.076428571454
2019-07-21 00:00:00+00:00,Random Forest,53511.96428571428,54444.93541666669
2019-07-28 00:00:00+00:00,Random Forest,54207.10119047619,54948.11166666671
2019-08-04 00:00:00+00:00,Random Forest,52392.10119047619,55138.39303571426
2019-08-11 00:00:00+00:00,Random Forest,52019.05357142857,54406.89208333331
2019-08-18 00:00:00+00:00,Random Forest,51155.23809523809,53836.47226190476
2019-08-25 00:00:00+00:00,Random Forest,51838.13095238096,54456.730654761916
2019-09-01 00:00:00+00:00,Random Forest,54091.97023809524,54360.28869047621
2019-09-08 00:00:00+00:00,Random Forest,52443.16071428572,54585.80839285717
2019-09-15 00:00:00+00:00,Random Forest,53348.48809523809,54561.84797619051
2019-09-22 00:00:00+00:00,Random Forest,53222.54761904762,56571.61535714293
2019-09-29 00:00:00+00:00,Random Forest,54829.47619047619,54975.01744047623
2019-10-06 00:00:00+00:00,Random Forest,52330.63095238096,54875.776726190496
2019-10-13 00:00:00+00:00,Random Forest,55801.708333333336,55297.42202380956
2019-10-20 00:00:00+00:00,Random Forest,56132.79166666666,55708.25011904766
2019-10-27 00:00:00+00:00,Random Forest,56484.41071428572,57624.72446428576
2019-11-03 00:00:00+00:00,Random Forest,55029.63095238096,55361.76494047619
2019-11-10 00:00:00+00:00,Random Forest,58159.36309523809,57636.23065476195
2019-11-17 00:00:00+00:00,Random Forest,59112.23809523809,58447.99892857146
2019-11-24 00:00:00+00:00,Random Forest,59735.94047619047,58600.22297619048
2019-12-01 00:00:00+00:00,Random Forest,59842.833333333336,58874.39970238097
2019-12-08 00:00:00+00:00,Random Forest,61059.29761904762,59000.42357142859
2019-12-15 00:00:00+00:00,Random Forest,61242.19047619047,60622.054285714265
2019-12-22 00:00:00+00:00,Random Forest,56836.767857142855,60036.049880952385
2019-12-29 00:00:00+00:00,Random Forest,46505.30952380953,52272.44773809528
2020-01-05 00:00:00+00:00,Random Forest,50161.70238095238,52321.65375000002
2020-01-12 00:00:00+00:00,Random Forest,59077.59523809524,58576.3940476191
2020-01-19 00:00:00+00:00,Random Forest,60361.69642857143,59451.130238095255
2020-01-26 00:00:00+00:00,Random Forest,60893.732142857145,61216.562559523765
2020-02-02 00:00:00+00:00,Random Forest,60839.19642857143,59883.59500000006
2020-02-09 00:00:00+00:00,Random Forest,60259.83928571428,59876.39523809529
2020-02-16 00:00:00+00:00,Random Forest,60845.125,59967.471964285774
2020-02-23 00:00:00+00:00,Random Forest,59787.32738095238,59805.29148809529
2020-03-01 00:00:00+00:00,Random Forest,58899.13690476191,59216.13125
2020-03-08 00:00:00+00:00,Random Forest,58688.47023809524,59117.31005952384
2020-03-15 00:00:00+00:00,Random Forest,58534.23809523809,59335.14500000004
2020-03-22 00:00:00+00:00,Random Forest,55372.744047619046,58565.83148809526
2020-03-29 00:00:00+00:00,Random Forest,53471.982142857145,58283.179702381
2020-04-05 00:00:00+00:00,Random Forest,52845.267857142855,55200.95089285719
2020-04-12 00:00:00+00:00,Random Forest,47210.88690476191,58057.919702381
2020-04-19 00:00:00+00:00,Random Forest,47415.69642857143,53473.35559523811
2020-04-26 00:00:00+00:00,Random Forest,50172.41666666666,53491.36714285714
2020-05-03 00:00:00+00:00,Random Forest,48161.90476190476,53820.80136904762
2020-05-10 00:00:00+00:00,Random Forest,49590.77976190476,54674.19267857145
2020-05-17 00:00:00+00:00,Random Forest,50926.97619047619,54542.323095238135
2020-05-24 00:00:00+00:00,Random Forest,47439.642857142855,54331.50708333337
2020-05-31 00:00:00+00:00,Random Forest,49527.607142857145,53272.06886904762
2020-06-07 00:00:00+00:00,Random Forest,48776.244047619046,54038.93369047623
2020-06-14 00:00:00+00:00,Random Forest,48219.744047619046,53261.40000000001
2020-06-21 00:00:00+00:00,Random Forest,49813.94642857143,53605.91857142857
2020-06-28 00:00:00+00:00,Random Forest,50480.79166666666,54646.884047619074
2020-07-05 00:00:00+00:00,Random Forest,51458.875,54505.37107142861
2020-07-12 00:00:00+00:00,Random Forest,51252.57738095238,53279.25744047621
2020-07-19 00:00:00+00:00,Random Forest,50896.18452380953,53283.6586309524
2020-07-26 00:00:00+00:00,Random Forest,50475.73809523809,53855.66970238098
2020-08-02 00:00:00+00:00,Random Forest,50049.392857142855,53272.37476190479
2020-08-09 00:00:00+00:00,Random Forest,49450.92261904762,53234.59452380952
2020-08-16 00:00:00+00:00,Random Forest,52076.73809523809,53177.61613095238
2020-08-23 00:00:00+00:00,Random Forest,51872.05952380953,53097.31654761905
2020-08-30 00:00:00+00:00,Random Forest,51653.375,53697.90107142859
2020-09-06 00:00:00+00:00,Random Forest,51617.744047619046,53183.45875000001
2020-09-13 00:00:00+00:00,Random Forest,51507.63095238096,53228.64273809523
2020-09-20 00:00:00+00:00,Random Forest,52181.32738095238,53435.034880952386
2020-09-27 00:00:00+00:00,Random Forest,53411.93452380953,54459.6104166667
2020-10-04 00:00:00+00:00,Random Forest,57410.319444444445,53720.65660714285
2018-10-07 00:00:00+00:00,Gradient Boosting,54287.05952380953,54916.99897807391
2018-10-14 00:00:00+00:00,Gradient Boosting,55848.94047619047,56197.94574729056
2018-10-21 00:00:00+00:00,Gradient Boosting,55762.125,56398.774030963024
2018-10-28 00:00:00+00:00,Gradient Boosting,58684.71428571428,56237.69090380604
2018-11-04 00:00:00+00:00,Gradient Boosting,55917.58928571428,54693.60883903482
2018-11-11 00:00:00+00:00,Gradient Boosting,58163.47023809524,57001.49451842554
2018-11-18 00:00:00+00:00,Gradient Boosting,59696.083333333336,57076.07966089866
2018-11-25 00:00:00+00:00,Gradient Boosting,61553.36309523809,61217.89256226814
2018-12-02 00:00:00+00:00,Gradient Boosting,62379.15476190476,61080.4675502955
2018-12-09 00:00:00+00:00,Gradient Boosting,62322.69047619047,58610.440996767546
2018-12-16 00:00:00+00:00,Gradient Boosting,63243.5,61374.14766977171
2018-12-23 00:00:00+00:00,Gradient Boosting,59408.55952380953,59513.06193373867
2018-12-30 00:00:00+00:00,Gradient Boosting,49075.583333333336,52193.416245974615
2019-01-06 00:00:00+00:00,Gradient Boosting,53805.875,55337.9957447504
2019-01-13 00:00:00+00:00,Gradient Boosting,62372.20238095238,59246.131287619435
2019-01-20 00:00:00+00:00,Gradient Boosting,62423.494047619046,61460.2899884849
2019-01-27 00:00:00+00:00,Gradient Boosting,63587.01190476191,61518.19933480984
2019-02-03 00:00:00+00:00,Gradient Boosting,62088.767857142855,61042.01978969274
2019-02-10 00:00:00+00:00,Gradient Boosting,62359.53571428572,57897.88704252585
2019-02-17 00:00:00+00:00,Gradient Boosting,60799.00595238096,57677.90868920145
2019-02-24 00:00:00+00:00,Gradient Boosting,59467.517857142855,57687.38621514377
2019-03-03 00:00:00+00:00,Gradient Boosting,58481.82142857143,57838.1814675534
2019-03-10 00:00:00+00:00,Gradient Boosting,58990.95238095238,56893.75507057368
2019-03-17 00:00:00+00:00,Gradient Boosting,60078.91071428572,57744.78955714436
2019-03-24 00:00:00+00:00,Gradient Boosting,57649.36309523809,58075.54832077088
2019-03-31 00:00:00+00:00,Gradient Boosting,56771.51190476191,52199.12251996641
2019-04-07 00:00:00+00:00,Gradient Boosting,56433.857142857145,54872.94792510944
2019-04-14 00:00:00+00:00,Gradient Boosting,56765.97023809524,55802.11417353085
2019-04-21 00:00:00+00:00,Gradient Boosting,51656.26190476191,54719.769433672096
2019-04-28 00:00:00+00:00,Gradient Boosting,52336.75,54438.282869043534
2019-05-05 00:00:00+00:00,Gradient Boosting,53123.17261904762,54119.92122717943
2019-05-12 00:00:00+00:00,Gradient Boosting,56023.57738095238,53773.21847421577
2019-05-19 00:00:00+00:00,Gradient Boosting,55285.59523809524,55492.60487351993
2019-05-26 00:00:00+00:00,Gradient Boosting,54945.35119047619,54504.84340579336
2019-06-02 00:00:00+00:00,Gradient Boosting,51308.80357142857,55161.62134307004
2019-06-09 00:00:00+00:00,Gradient Boosting,54528.16071428572,55475.0737795821
2019-06-16 00:00:00+00:00,Gradient Boosting,52286.708333333336,55207.69385620336
2019-06-23 00:00:00+00:00,Gradient Boosting,52541.21428571428,55440.061802259836
2019-06-30 00:00:00+00:00,Gradient Boosting,55955.28571428572,54987.64853457574
2019-07-07 00:00:00+00:00,Gradient Boosting,55179.63095238096,55724.31079670022
2019-07-14 00:00:00+00:00,Gradient Boosting,53908.16666666666,53911.459734853925
2019-07-21 00:00:00+00:00,Gradient Boosting,53511.96428571428,54358.65837685464
2019-07-28 00:00:00+00:00,Gradient Boosting,54207.10119047619,54838.091534979845
2019-08-04 00:00:00+00:00,Gradient Boosting,52392.10119047619,55782.53154360612
2019-08-11 00:00:00+00:00,Gradient Boosting,52019.05357142857,54715.92029361002
2019-08-18 00:00:00+00:00,Gradient Boosting,51155.23809523809,53648.335651026115
2019-08-25 00:00:00+00:00,Gradient Boosting,51838.13095238096,54908.62155798325
2019-09-01 00:00:00+00:00,Gradient Boosting,54091.97023809524,54287.90872366667
2019-09-08 00:00:00+00:00,Gradient Boosting,52443.16071428572,54410.4176053182
2019-09-15 00:00:00+00:00,Gradient Boosting,53348.48809523809,54866.9713709345
2019-09-22 00:00:00+00:00,Gradient Boosting,53222.54761904762,57381.74581334723
2019-09-29 00:00:00+00:00,Gradient Boosting,54829.47619047619,56167.48805012618
2019-10-06 00:00:00+00:00,Gradient Boosting,52330.63095238096,55743.429283155776
2019-10-13 00:00:00+00:00,Gradient Boosting,55801.708333333336,55500.56802897053
2019-10-20 00:00:00+00:00,Gradient Boosting,56132.79166666666,55965.7235798555
2019-10-27 00:00:00+00:00,Gradient Boosting,56484.41071428572,57146.139353416664
2019-11-03 00:00:00+00:00,Gradient Boosting,55029.63095238096,55665.85049920278
2019-11-10 00:00:00+00:00,Gradient Boosting,58159.36309523809,56808.76420238423
2019-11-17 00:00:00+00:00,Gradient Boosting,59112.23809523809,57056.88606740025
2019-11-24 00:00:00+00:00,Gradient Boosting,59735.94047619047,58473.71375511475
2019-12-01 00:00:00+00:00,Gradient Boosting,59842.833333333336,58390.04912016787
2019-12-08 00:00:00+00:00,Gradient Boosting,61059.29761904762,58193.97115201334
2019-12-15 00:00:00+00:00,Gradient Boosting,61242.19047619047,60123.59825902554
2019-12-22 00:00:00+00:00,Gradient Boosting,56836.767857142855,60073.01915129641
2019-12-29 00:00:00+00:00,Gradient Boosting,46505.30952380953,52041.21116389381
2020-01-05 00:00:00+00:00,Gradient Boosting,50161.70238095238,51731.74747835006
2020-01-12 00:00:00+00:00,Gradient Boosting,59077.59523809524,59235.647955811015
2020-01-19 00:00:00+00:00,Gradient Boosting,60361.69642857143,59624.84108453813
2020-01-26 00:00:00+00:00,Gradient Boosting,60893.732142857145,61577.96721315976
2020-02-02 00:00:00+00:00,Gradient Boosting,60839.19642857143,59953.09856550655
2020-02-09 00:00:00+00:00,Gradient Boosting,60259.83928571428,59737.76705575965
2020-02-16 00:00:00+00:00,Gradient Boosting,60845.125,59797.44230450428
2020-02-23 00:00:00+00:00,Gradient Boosting,59787.32738095238,59532.35977509095
2020-03-01 00:00:00+00:00,Gradient Boosting,58899.13690476191,59359.14643428397
2020-03-08 00:00:00+00:00,Gradient Boosting,58688.47023809524,59359.35250746809
2020-03-15 00:00:00+00:00,Gradient Boosting,58534.23809523809,58928.25111192643
2020-03-22 00:00:00+00:00,Gradient Boosting,55372.744047619046,57587.59705937436
2020-03-29 00:00:00+00:00,Gradient Boosting,53471.982142857145,58458.88542364785
2020-04-05 00:00:00+00:00,Gradient Boosting,52845.267857142855,56199.071582453435
2020-04-12 00:00:00+00:00,Gradient Boosting,47210.88690476191,57804.14056190854
2020-04-19 00:00:00+00:00,Gradient Boosting,47415.69642857143,53854.54465402447
2020-04-26 00:00:00+00:00,Gradient Boosting,50172.41666666666,53502.971296392854
2020-05-03 00:00:00+00:00,Gradient Boosting,48161.90476190476,54695.933901186756
2020-05-10 00:00:00+00:00,Gradient Boosting,49590.77976190476,54947.921132265554
2020-05-17 00:00:00+00:00,Gradient Boosting,50926.97619047619,55076.58051567656
2020-05-24 00:00:00+00:00,Gradient Boosting,47439.642857142855,54444.20300142259
2020-05-31 00:00:00+00:00,Gradient Boosting,49527.607142857145,53727.00626663143
2020-06-07 00:00:00+00:00,Gradient Boosting,48776.244047619046,54149.32998074101
2020-06-14 00:00:00+00:00,Gradient Boosting,48219.744047619046,53111.811567200435
2020-06-21 00:00:00+00:00,Gradient Boosting,49813.94642857143,53775.90863857139
2020-06-28 00:00:00+00:00,Gradient Boosting,50480.79166666666,54581.69439377408
2020-07-05 00:00:00+00:00,Gradient Boosting,51458.875,53992.63975973803
2020-07-12 00:00:00+00:00,Gradient Boosting,51252.57738095238,53045.13622082063
2020-07-19 00:00:00+00:00,Gradient Boosting,50896.18452380953,53288.94270225456
2020-07-26 00:00:00+00:00,Gradient Boosting,50475.73809523809,54141.52368228511
2020-08-02 00:00:00+00:00,Gradient Boosting,50049.392857142855,53746.704864676765
2020-08-09 00:00:00+00:00,Gradient Boosting,49450.92261904762,53087.394755112364
2020-08-16 00:00:00+00:00,Gradient Boosting,52076.73809523809,52932.52383929928
2020-08-23 00:00:00+00:00,Gradient Boosting,51872.05952380953,53630.49956566936
2020-08-30 00:00:00+00:00,Gradient Boosting,51653.375,54164.95708220194
2020-09-06 00:00:00+00:00,Gradient Boosting,51617.744047619046,53889.57595477835
2020-09-13 00:00:00+00:00,Gradient Boosting,51507.63095238096,53660.3317725196
2020-09-20 00:00:00+00:00,Gradient Boosting,52181.32738095238,54197.482258304124
2020-09-27 00:00:00+00:00,Gradient Boosting,53411.93452380953,54734.99053627784
2020-10-04 00:00:00+00:00,Gradient Boosting,57410.319444444445,54628.371595015335
